Timestamp,SIM,RSSI,Network,Distance
14 Aug 15:02:06,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:08,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:11,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:13,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:15,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:18,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:20,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:22,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:25,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:27,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:29,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:32,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:34,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:36,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:39,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:41,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:43,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:46,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:48,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:50,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:53,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:55,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:02:57,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:00,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:02,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:04,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:07,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:09,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:11,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:14,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:16,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:18,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:21,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:23,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:25,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:27,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:30,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:32,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:34,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:37,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:39,SIM1,-76 dBm,NR NSA 5G,1.0
14 Aug 15:03:41,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:44,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:46,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:48,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:51,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:53,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:03:55,SIM1,-76 dBm,NR NSA 5G,1.0
14 Aug 15:03:58,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:00,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:02,SIM1,-76 dBm,NR NSA 5G,1.0
14 Aug 15:04:05,SIM1,-76 dBm,NR NSA 5G,1.0
14 Aug 15:04:07,SIM1,-76 dBm,NR NSA 5G,1.0
14 Aug 15:04:09,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:12,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:14,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:16,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:19,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:21,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:23,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:26,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:28,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:30,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:33,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:35,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:37,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:40,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:42,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:44,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:47,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:49,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:51,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:54,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:56,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:04:58,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:01,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:03,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:05,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:08,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:10,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:12,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:15,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:17,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:19,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:22,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:24,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:26,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:29,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:31,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:33,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:36,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:38,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:40,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:43,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:45,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:47,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:50,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:52,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 15:05:54,SIM1,-76 dBm,NR NSA 5G,1.0
14 Aug 15:05:57,SIM1,-75 dBm,NR NSA 5G,1.0
14 Aug 14:37:52,SIM1,-77 dBm,NR NSA 5G,2.0
14 Aug 14:37:54,SIM1,-75 dBm,NR NSA 5G,2.0
14 Aug 14:37:57,SIM1,-74 dBm,NR NSA 5G,2.0
14 Aug 14:37:59,SIM1,-75 dBm,NR NSA 5G,2.0
14 Aug 14:38:01,SIM1,-76 dBm,NR NSA 5G,2.0
14 Aug 14:38:04,SIM1,-76 dBm,NR NSA 5G,2.0
14 Aug 14:38:06,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:38:08,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:38:10,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:38:13,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:38:15,SIM1,-75 dBm,NR NSA 5G,2.0
14 Aug 14:38:17,SIM1,-74 dBm,NR NSA 5G,2.0
14 Aug 14:38:20,SIM1,-75 dBm,NR NSA 5G,2.0
14 Aug 14:38:22,SIM1,-75 dBm,NR NSA 5G,2.0
14 Aug 14:38:24,SIM1,-77 dBm,NR NSA 5G,2.0
14 Aug 14:38:26,SIM1,-76 dBm,NR NSA 5G,2.0
14 Aug 14:38:29,SIM1,-75 dBm,NR NSA 5G,2.0
14 Aug 14:38:31,SIM1,-75 dBm,NR NSA 5G,2.0
14 Aug 14:38:33,SIM1,-75 dBm,NR NSA 5G,2.0
14 Aug 14:38:36,SIM1,-77 dBm,NR NSA 5G,2.0
14 Aug 14:38:38,SIM1,-80 dBm,NR NSA 5G,2.0
14 Aug 14:38:40,SIM1,-82 dBm,NR NSA 5G,2.0
14 Aug 14:38:42,SIM1,-82 dBm,NR NSA 5G,2.0
14 Aug 14:38:45,SIM1,-82 dBm,NR NSA 5G,2.0
14 Aug 14:38:47,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:38:49,SIM1,-76 dBm,NR NSA 5G,2.0
14 Aug 14:38:52,SIM1,-76 dBm,NR NSA 5G,2.0
14 Aug 14:38:54,SIM1,-77 dBm,NR NSA 5G,2.0
14 Aug 14:38:56,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:38:58,SIM1,-79 dBm,NR NSA 5G,2.0
14 Aug 14:39:01,SIM1,-79 dBm,NR NSA 5G,2.0
14 Aug 14:39:03,SIM1,-80 dBm,NR NSA 5G,2.0
14 Aug 14:39:05,SIM1,-80 dBm,NR NSA 5G,2.0
14 Aug 14:39:08,SIM1,-79 dBm,NR NSA 5G,2.0
14 Aug 14:39:10,SIM1,-79 dBm,NR NSA 5G,2.0
14 Aug 14:39:12,SIM1,-80 dBm,NR NSA 5G,2.0
14 Aug 14:39:15,SIM1,-81 dBm,NR NSA 5G,2.0
14 Aug 14:39:17,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:39:19,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:39:21,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:39:24,SIM1,-81 dBm,NR NSA 5G,2.0
14 Aug 14:39:26,SIM1,-80 dBm,NR NSA 5G,2.0
14 Aug 14:39:28,SIM1,-80 dBm,NR NSA 5G,2.0
14 Aug 14:39:31,SIM1,-80 dBm,NR NSA 5G,2.0
14 Aug 14:39:33,SIM1,-80 dBm,NR NSA 5G,2.0
14 Aug 14:39:35,SIM1,-81 dBm,NR NSA 5G,2.0
14 Aug 14:39:37,SIM1,-80 dBm,NR NSA 5G,2.0
14 Aug 14:39:40,SIM1,-80 dBm,NR NSA 5G,2.0
14 Aug 14:39:42,SIM1,-80 dBm,NR NSA 5G,2.0
14 Aug 14:39:44,SIM1,-79 dBm,NR NSA 5G,2.0
14 Aug 14:39:47,SIM1,-79 dBm,NR NSA 5G,2.0
14 Aug 14:39:49,SIM1,-79 dBm,NR NSA 5G,2.0
14 Aug 14:39:51,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:39:53,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:39:56,SIM1,-77 dBm,NR NSA 5G,2.0
14 Aug 14:39:58,SIM1,-77 dBm,NR NSA 5G,2.0
14 Aug 14:40:00,SIM1,-77 dBm,NR NSA 5G,2.0
14 Aug 14:40:03,SIM1,-81 dBm,NR NSA 5G,2.0
14 Aug 14:40:05,SIM1,-83 dBm,NR NSA 5G,2.0
14 Aug 14:40:07,SIM1,-83 dBm,NR NSA 5G,2.0
14 Aug 14:40:10,SIM1,-83 dBm,NR NSA 5G,2.0
14 Aug 14:40:12,SIM1,-84 dBm,NR NSA 5G,2.0
14 Aug 14:40:14,SIM1,-84 dBm,NR NSA 5G,2.0
14 Aug 14:40:16,SIM1,-84 dBm,NR NSA 5G,2.0
14 Aug 14:40:19,SIM1,-84 dBm,NR NSA 5G,2.0
14 Aug 14:40:21,SIM1,-84 dBm,NR NSA 5G,2.0
14 Aug 14:40:23,SIM1,-83 dBm,NR NSA 5G,2.0
14 Aug 14:40:26,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:40:28,SIM1,-78 dBm,NR NSA 5G,2.0
14 Aug 14:40:30,SIM1,-73 dBm,NR NSA 5G,2.0
14 Aug 14:40:32,SIM1,-74 dBm,NR NSA 5G,2.0
14 Aug 14:40:35,SIM1,-75 dBm,NR NSA 5G,2.0
14 Aug 14:40:37,SIM1,-75 dBm,NR NSA 5G,2.0
14 Aug 14:40:42,SIM1,-75 dBm,NR NSA 5G,2.0
14 Aug 14:40:58,SIM1,-85 dBm,NR NSA 5G,2.0
14 Aug 14:41:00,SIM1,-81 dBm,NR NSA 5G,2.0
14 Aug 14:41:02,SIM1,-77 dBm,NR NSA 5G,2.0
14 Aug 14:41:05,SIM1,-76 dBm,NR NSA 5G,2.0
14 Aug 14:41:07,SIM1,-76 dBm,NR NSA 5G,2.0
14 Aug 14:41:09,SIM1,-76 dBm,NR NSA 5G,2.0
14 Aug 14:41:11,SIM1,-76 dBm,NR NSA 5G,2.0
14 Aug 14:41:14,SIM1,-77 dBm,NR NSA 5G,2.0
14 Aug 14:41:16,SIM1,-77 dBm,NR NSA 5G,2.0
14 Aug 14:41:18,SIM1,-77 dBm,NR NSA 5G,2.0
14 Aug 14:41:21,SIM1,-76 dBm,NR NSA 5G,2.0
14 Aug 14:41:23,SIM1,-76 dBm,NR NSA 5G,2.0
14 Aug 14:41:25,SIM1,-72 dBm,NR NSA 5G,2.0
14 Aug 14:41:27,SIM1,-72 dBm,NR NSA 5G,2.0
14 Aug 14:41:30,SIM1,-72 dBm,NR NSA 5G,2.0
14 Aug 14:41:32,SIM1,-72 dBm,NR NSA 5G,2.0
14 Aug 14:41:34,SIM1,-71 dBm,NR NSA 5G,2.0
14 Aug 14:41:37,SIM1,-71 dBm,NR NSA 5G,2.0
14 Aug 14:41:39,SIM1,-72 dBm,NR NSA 5G,2.0
14 Aug 14:41:41,SIM1,-74 dBm,NR NSA 5G,2.0
14 Aug 14:41:44,SIM1,-72 dBm,NR NSA 5G,2.0
14 Aug 14:41:46,SIM1,-72 dBm,NR NSA 5G,2.0
14 Aug 14:41:48,SIM1,-72 dBm,NR NSA 5G,2.0
14 Aug 14:41:50,SIM1,-74 dBm,NR NSA 5G,2.0
14 Aug 14:41:53,SIM1,-74 dBm,NR NSA 5G,2.0
14 Aug 14:41:55,SIM1,-74 dBm,NR NSA 5G,2.0
14 Aug 14:47:25,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:47:27,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:47:29,SIM1,-86 dBm,NR NSA 5G,3.0
14 Aug 14:47:32,SIM1,-86 dBm,NR NSA 5G,3.0
14 Aug 14:47:34,SIM1,-86 dBm,NR NSA 5G,3.0
14 Aug 14:47:36,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:47:39,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:47:41,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:47:43,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:47:45,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:47:48,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:47:50,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:47:52,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:47:55,SIM1,-86 dBm,NR NSA 5G,3.0
14 Aug 14:47:57,SIM1,-86 dBm,NR NSA 5G,3.0
14 Aug 14:47:59,SIM1,-86 dBm,NR NSA 5G,3.0
14 Aug 14:48:02,SIM1,-86 dBm,NR NSA 5G,3.0
14 Aug 14:48:04,SIM1,-86 dBm,NR NSA 5G,3.0
14 Aug 14:48:06,SIM1,-86 dBm,NR NSA 5G,3.0
14 Aug 14:48:08,SIM1,-86 dBm,NR NSA 5G,3.0
14 Aug 14:48:11,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:48:13,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:48:15,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:48:18,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:48:20,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:48:22,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:48:24,SIM1,-86 dBm,NR NSA 5G,3.0
14 Aug 14:48:27,SIM1,-87 dBm,NR NSA 5G,3.0
14 Aug 14:48:29,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:48:31,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:48:34,SIM1,-89 dBm,NR NSA 5G,3.0
14 Aug 14:48:36,SIM1,-89 dBm,NR NSA 5G,3.0
14 Aug 14:48:38,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:48:40,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:48:43,SIM1,-89 dBm,NR NSA 5G,3.0
14 Aug 14:48:45,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:48:47,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:48:50,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:48:52,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:48:54,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:48:57,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:48:59,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:01,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:03,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:06,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:08,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:10,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:13,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:15,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:17,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:19,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:22,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:24,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:26,SIM1,-89 dBm,NR NSA 5G,3.0
14 Aug 14:49:29,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:31,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:33,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:36,SIM1,-89 dBm,NR NSA 5G,3.0
14 Aug 14:49:38,SIM1,-89 dBm,NR NSA 5G,3.0
14 Aug 14:49:40,SIM1,-89 dBm,NR NSA 5G,3.0
14 Aug 14:49:42,SIM1,-89 dBm,NR NSA 5G,3.0
14 Aug 14:49:45,SIM1,-89 dBm,NR NSA 5G,3.0
14 Aug 14:49:47,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:49,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:52,SIM1,-88 dBm,NR NSA 5G,3.0
14 Aug 14:49:54,SIM1,-88 dBm,NR NSA 5G,3.0
