Timestamp,SIM,RSSI,Network,Distance
27 Jul 11:44:05, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:07, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:09, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:12, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:14, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:16, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:19, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:21, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:23, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:26, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:28, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:30, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:44:33, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:44:35, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:44:37, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:44:40, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:44:42, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:44:44, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:44:47, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:44:49, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:44:51, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:44:54, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:44:56, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:44:58, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:45:01, SIM1, -68 dBm, NR NSA 5G, 1.0
27 Jul 11:45:03, SIM1, -69 dBm, NR NSA 5G, 1.0
27 Jul 11:45:05, SIM1, -68 dBm, NR NSA 5G, 1.0
